explain:dataset:    inputs/wpbc.csv
explain:instance:   92
explain:timeout:    3600s
explain:type:       enumeration (MARCO)
explain:nb_inputs:  33
explain:nb_outputs: 1
explain:nb_trees:   50
explain:nb_nodes:   564
explain:outcome:    22068 explanations
explain:runtime:    145.58s
explain:querytime:  141.30s
explain:queries:    732339
