explain:dataset:    inputs/ionosphere.csv
explain:instance:   191
explain:timeout:    3600s
explain:type:       enumeration (MARCO)
explain:nb_inputs:  34
explain:nb_outputs: 1
explain:nb_trees:   50
explain:nb_nodes:   464
explain:outcome:    7412 explanations
explain:runtime:    17.59s
explain:querytime:  16.28s
explain:queries:    298364
