explain:dataset:    inputs/pendigits.csv
explain:instance:   133
explain:timeout:    3600s
explain:type:       enumeration (MARCO)
explain:nb_inputs:  16
explain:nb_outputs: 10
explain:nb_trees:   500
explain:nb_nodes:   6590
explain:outcome:    184 explanations
explain:runtime:    42.88s
explain:querytime:  42.87s
explain:queries:    3568
