explain:dataset:    inputs/spambase.csv
explain:instance:   140
explain:timeout:    3600s
explain:type:       enumeration (MARCO)
explain:nb_inputs:  57
explain:nb_outputs: 1
explain:nb_trees:   50
explain:nb_nodes:   948
explain:outcome:    47974 explanations
explain:runtime:    976.68s
explain:querytime:  967.77s
explain:queries:    1917496
